"baker","signature","technical.rank","showstopper","episode","signatuare.name","technical.name","showstopper.name","season"
"Sophie","Tagine Teacakes","6th","'Picnic Basket' Bread Sculpture",3,"12 Teacakes ","Cottage Loaf ","Multicoloured Bread Sculpture ","8"
"Stacey","Cranberry and Cinnamon Teacakes","1st","'Ascot Hat' Bread Sculpture",3,"12 Teacakes ","Cottage Loaf ","Multicoloured Bread Sculpture ","8"
"Steven","Madras Cocktail Teacakes","3rd","'The Bag I Knead' Bread Sculpture",3,"12 Teacakes ","Cottage Loaf ","Multicoloured Bread Sculpture ","8"
"Tom","Orange and Cranberry Teacakes","4th","'Pink & Yellow Rose Centrepiece' Bread Sculpture",3,"12 Teacakes ","Cottage Loaf ","Multicoloured Bread Sculpture ","8"
"Yan","'Mrs P's' Masala Chai Spiced Teacakes","8th","'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture",3,"12 Teacakes ","Cottage Loaf ","Multicoloured Bread Sculpture ","8"
"James","'Windy City' Millionaire Shortbreads","2nd","Nutty Caramel Cake",4,"18 Millionaire Shortbreads ","12 Stroopwafels ","Caramel Cake ","8"
"Julia","Pecan Salted Caramel Millionaire Shortbreads","9th","Poppy Seed Caramel Cake",4,"18 Millionaire Shortbreads ","12 Stroopwafels ","Caramel Cake ","8"
"Kate","Salted Bay Caramel Millionaire Shortbreads","6th","Sticky Toffee Apple Caramel Cake",4,"18 Millionaire Shortbreads ","12 Stroopwafels ","Caramel Cake ","8"
"Liam","Salted Peanut Butter Millionaire Shortbreads","3rd","White Layered Ginger Caramel Cake",4,"18 Millionaire Shortbreads ","12 Stroopwafels ","Caramel Cake ","8"
"Sophie","Jaffa Millionaire Shortbreads","4th","Bird's Nest Caramel Cake",4,"18 Millionaire Shortbreads ","12 Stroopwafels ","Caramel Cake ","8"
"Stacey","Rum Salted Caramel Millionaire Shortbreads","1st","Chocolate and Coffee Caramel Cake",4,"18 Millionaire Shortbreads ","12 Stroopwafels ","Caramel Cake ","8"
"Steven","Orange Macadamia Nut Millionaire Shortbreads","7th","Caramel Crown Cake",4,"18 Millionaire Shortbreads ","12 Stroopwafels ","Caramel Cake ","8"
"Tom","Stem Ginger Caramel Shortbreads","5th","Hummingbird Cake",4,"18 Millionaire Shortbreads ","12 Stroopwafels ","Caramel Cake ","8"
"Yan","'Lil' Red's Ginger and Nuts' Millionaire Shortbreads","8th","Animals of the Rainforest Caramel Cake",4,"18 Millionaire Shortbreads ","12 Stroopwafels ","Caramel Cake ","8"
"James","Orange and Ginger Steamed School Pudding","7th","'The Missed Silver Jubilee' Trifle Terrine",5,"Steamed School Pudding ","6 Molten Chocolate Puddings ","Ornamental Trifle Terrine ","8"
"Julia","Orange & Treacle Steamed School Pudding","3rd","'Opulent Ornament' Trifle Terrine",5,"Steamed School Pudding ","6 Molten Chocolate Puddings ","Ornamental Trifle Terrine ","8"
"Kate","'Mr Darcy's Steamy Lake Scene' Steamed School Pudding","8th","'My Great Great Nan's' Raspberry Trifle Terrine",5,"Steamed School Pudding ","6 Molten Chocolate Puddings ","Ornamental Trifle Terrine ","8"
"Liam","Cherries & Lemons that are 'Baked Well'","2nd","'Cheers Lads' Trifle Terrine",5,"Steamed School Pudding ","6 Molten Chocolate Puddings ","Ornamental Trifle Terrine ","8"
"Sophie","Ginger, Fig and Honey Steamed School Pudding","1st","Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine",5,"Steamed School Pudding ","6 Molten Chocolate Puddings ","Ornamental Trifle Terrine ","8"
"Stacey","Bakewell Tart Steamed School Pudding","4th","Tropical Trifle Terrine",5,"Steamed School Pudding ","6 Molten Chocolate Puddings ","Ornamental Trifle Terrine ","8"
"Steven","Lemon & Blackcurrant Drizzle Steamed School Pudding","5th","'From Across the Jelly Pond' Trifle Terrine",5,"Steamed School Pudding ","6 Molten Chocolate Puddings ","Ornamental Trifle Terrine ","8"
"Yan","Mango Fruit Hat Steamed School Pudding","6th","'Heart of a Hero' Trifle Terrine",5,"Steamed School Pudding ","6 Molten Chocolate Puddings ","Ornamental Trifle Terrine ","8"
"Julia","'Pies from the Tree' Decorative Pies","7th","'Special Occasion' Pie",6,"4 Shortcrust Savoury Pies ","12 Pastéis de Nata ","Family Sized Hand Raised Pie ","8"
"Kate","'Vegetarian Pie Faces' Decorative Pies","5th","Potato Curry Pie with Mango & Chilli Glaze",6,"4 Shortcrust Savoury Pies ","12 Pastéis de Nata ","Family Sized Hand Raised Pie ","8"
"Liam","'Standard FC' Decorative Pies","4th","'Nan's Sunday Dinner' Pie",6,"4 Shortcrust Savoury Pies ","12 Pastéis de Nata ","Family Sized Hand Raised Pie ","8"
"Sophie","'The Four Seasons' Decorative Pies","2nd","Game Pie with Glazed Forest Fruits",6,"4 Shortcrust Savoury Pies ","12 Pastéis de Nata ","Family Sized Hand Raised Pie ","8"
"Stacey","'Love Theme' Decorative Pies","6th","Indian Hand Raised Pie with Mango",6,"4 Shortcrust Savoury Pies ","12 Pastéis de Nata ","Family Sized Hand Raised Pie ","8"
"Steven","'Fleetwood Mac' Decorative Pies","3rd","Christmas Pie",6,"4 Shortcrust Savoury Pies ","12 Pastéis de Nata ","Family Sized Hand Raised Pie ","8"
"Yan","'πr2' Decorative Pies","1st","Chequerboard Pie",6,"4 Shortcrust Savoury Pies ","12 Pastéis de Nata ","Family Sized Hand Raised Pie ","8"
"Kate","'Happy Hour' Cocktail Cannoli","6th","'Flavour Fusion' Sfogliatelle",7,"18 Cannolis ","Pizza Margherita ","24 Sfogliatelle ","8"
"Liam","'Just Doing Me' Cannoli","2nd","'Morning Delivery' Sfogliatelle",7,"18 Cannolis ","Pizza Margherita ","24 Sfogliatelle ","8"
"Sophie","'Classics with a Twist' Cannoli","3rd","'Classics' Sfogliatelle",7,"18 Cannolis ","Pizza Margherita ","24 Sfogliatelle ","8"
"Stacey","My All Time Favourite Desserts","4th","Pastry Surprise",7,"18 Cannolis ","Pizza Margherita ","24 Sfogliatelle ","8"
"Steven","Italian Style Cannoli","1st","'Sicilian-style' Sfogliatelle",7,"18 Cannolis ","Pizza Margherita ","24 Sfogliatelle ","8"
"Yan","Cannoli Cocktails","5th","Canadian-Style Sfogliatelle",7,"18 Cannolis ","Pizza Margherita ","24 Sfogliatelle ","8"
"Kate","Burrito Bedfordshire Clangers","2nd","'Liver Building Turret' Savoy Cake",8,"4 Bedfordshire Clangers ","Cumberland Rum Nicky ","Victorian Savoy Cake ","8"
"Liam","'Take Out' Bedfordshire Clangers","5th","'Fort Wizardore' Savoy Cake",8,"4 Bedfordshire Clangers ","Cumberland Rum Nicky ","Victorian Savoy Cake ","8"
"Sophie","Char Siu & Banana Praline Bedfordshire Clangers","4th","Citrus with Green Apple Croquembouche Savoy Cake",8,"4 Bedfordshire Clangers ","Cumberland Rum Nicky ","Victorian Savoy Cake ","8"
"Stacey","Camembert & Onion and Apple & Blueberry Bedfordshire Clangers","3rd","'Bright' Lemon & Orange Savoy Cake",8,"4 Bedfordshire Clangers ","Cumberland Rum Nicky ","Victorian Savoy Cake ","8"
"Steven","'Mediterranean Medley' Bedfordshire Clangers","1st","Chestnut Rum Savoy Cake",8,"4 Bedfordshire Clangers ","Cumberland Rum Nicky ","Victorian Savoy Cake ","8"
"Kate","Bellini and Valencian Orange Choux Buns","4th","'Rainbow' Meringue Centrepiece",9,"24 Choux Buns ","9 Les Misérables Slices ","Meringue Centrepiece ","8"
"Sophie","Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns","1st","'Tutu with Opera Filling' Meringue Centrepiece",9,"24 Choux Buns ","9 Les Misérables Slices ","Meringue Centrepiece ","8"
"Stacey","'Choux-nicorn and Choux-moji' Choux Buns","2nd","'Flamingos in Love' Meringue Centrepiece",9,"24 Choux Buns ","9 Les Misérables Slices ","Meringue Centrepiece ","8"
"Steven","Key Lime Cheesecake and Bakewell Tart Choux Buns","3rd","'Some Air Over the Rainbow' Meringue Centrepiece",9,"24 Choux Buns ","9 Les Misérables Slices ","Meringue Centrepiece ","8"
"Kate","Roman Spelt, Coconut Kala Chana and Flower Breads","3rd","White Chocolate, Yuzu and Lychee Entremet",10,"12 Small Loaves ","10 Ginger Biscuits ","Large Entremet ","8"
"Sophie","Spelt Boules, Mushroom Ciabatta & Orange Plaited Brioche","2nd","'Ode to the Honey Bee' Entremet",10,"12 Small Loaves ","10 Ginger Biscuits ","Large Entremet ","8"
"Steven","Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads","1st","'Yin Yang' Entremet",10,"12 Small Loaves ","10 Ginger Biscuits ","Large Entremet ","8"
"Antony","Turmeric and Caraway Goosnargh Cakes","12th","""Kilimanjaro Selfie""",1,"24 Regional Biscuits ","8 Wagon Wheels ","3D Biscuit Self Portrait ","9"
"Briony","Apple Cider Empire Biscuits","2nd","""Bristol Biscuit Selfie""",1,"24 Regional Biscuits ","8 Wagon Wheels ","3D Biscuit Self Portrait ","9"
"Dan","Lemon and Strawberry Shrewsburys","4th","""New Dad in Palm Springs""",1,"24 Regional Biscuits ","8 Wagon Wheels ","3D Biscuit Self Portrait ","9"
"Imelda","Cherry and White Chocolate Oatmeal Biscuits","11th","""Seaside Selfie""",1,"24 Regional Biscuits ","8 Wagon Wheels ","3D Biscuit Self Portrait ","9"
"Jon","Aberffraw 'Creams'","5th","""A Sailing Selfie by the Sea""",1,"24 Regional Biscuits ","8 Wagon Wheels ","3D Biscuit Self Portrait ","9"
"Karen","Yorkshire Perkins","6th","Rosewater and Cardamom ""Holiday Selfie""",1,"24 Regional Biscuits ","8 Wagon Wheels ","3D Biscuit Self Portrait ","9"
"Kim-Joy","Orange Blossom York Biscuits","10th","""Me at Miyajima Shrine""",1,"24 Regional Biscuits ","8 Wagon Wheels ","3D Biscuit Self Portrait ","9"
"Luke","Yorkshire Gingernuts","8th","""What Happens In Vegas...!""",1,"24 Regional Biscuits ","8 Wagon Wheels ","3D Biscuit Self Portrait ","9"
"Manon","Hazelnut Cornish Shortbread","3rd","Matcha and White Chocolate Ganache Japanese Selfie",1,"24 Regional Biscuits ","8 Wagon Wheels ","3D Biscuit Self Portrait ","9"
"Rahul","Fennel and Coconut Pitcaithly Bannock","7th","""First Spring in the UK""",1,"24 Regional Biscuits ","8 Wagon Wheels ","3D Biscuit Self Portrait ","9"
"Ruby","Masala Chai Devon Flats","1st","""Gingerbread Marathon Selfie""",1,"24 Regional Biscuits ","8 Wagon Wheels ","3D Biscuit Self Portrait ","9"
"Terry","Lake District Ginger Shortbread","9th","""Brandy Snap Selfie""",1,"24 Regional Biscuits ","8 Wagon Wheels ","3D Biscuit Self Portrait ","9"
"Antony","Cardamom and Coconut Burfi Traybake","9th","Pistachio, Saffron and Rose Cake",2,"16 Traybakes ","Le Gâteau Vert ","Chocolate Collar Cake ","9"
"Briony","Turron and Orange Traybake","5th","Chocolate Fudge and Salted Caramel Creation",2,"16 Traybakes ","Le Gâteau Vert ","Chocolate Collar Cake ","9"
"Dan","Black Forest Slice","3rd","Dark Chocolate and Raspberry Birthday Cake",2,"16 Traybakes ","Le Gâteau Vert ","Chocolate Collar Cake ","9"
"Jon","Lemon Meringue Traybake","1st","Hawaiian Shirt Pina Colada Cake",2,"16 Traybakes ","Le Gâteau Vert ","Chocolate Collar Cake ","9"
"Karen","Almond and Marzipan Traybake with Rhubarb Jam","11th","Strawberry Fayre Chocolate Cake",2,"16 Traybakes ","Le Gâteau Vert ","Chocolate Collar Cake ","9"
"Kim-Joy","Pandan Chiffon Cake with Palm Sugar Cream","4th","Yuzu and Raspberry Genoise Cat Cake",2,"16 Traybakes ","Le Gâteau Vert ","Chocolate Collar Cake ","9"
"Luke","Lemon and Poppy Seed Traybake","7th","Raspberry and White Chocolate Collar Cake",2,"16 Traybakes ","Le Gâteau Vert ","Chocolate Collar Cake ","9"
"Manon","Rosemary and Honey Traybake","6th","Almond Princess Cake",2,"16 Traybakes ","Le Gâteau Vert ","Chocolate Collar Cake ","9"
"Rahul","Lemon and Cardamom Traybake","2nd","Chocolate Orange Layer Cake",2,"16 Traybakes ","Le Gâteau Vert ","Chocolate Collar Cake ","9"
"Ruby","Boozy Black Forest Traybake","10th","Chocolate Orange ""Jackson Pollock"" Collar Cake",2,"16 Traybakes ","Le Gâteau Vert ","Chocolate Collar Cake ","9"
"Terry","Rum and Raisin Traybake","8th","Champagne and Strawberries Eiffel Tower Collar Cake",2,"16 Traybakes ","Le Gâteau Vert ","Chocolate Collar Cake ","9"
"Antony","Decadent Breakfast Chelsea Buns","8th","Chocolate and Orange Adventure Korovai",3,"12 Chelsea Buns ","8 Non Yeasted Garlic Naan Breads ","Korovai ","9"
"Briony","Balsamic Strawberry Chelsea Buns","9th","Happily Ever After Korovai",3,"12 Chelsea Buns ","8 Non Yeasted Garlic Naan Breads ","Korovai ","9"
"Dan","Sticky Spiced Orange Chelsea Buns","6th","Wedding Korovai",3,"12 Chelsea Buns ","8 Non Yeasted Garlic Naan Breads ","Korovai ","9"
"Jon","Cardiff City vs Chelsea Buns","2nd","Korovai Dydd Dewi Sant",3,"12 Chelsea Buns ","8 Non Yeasted Garlic Naan Breads ","Korovai ","9"
"Karen","Peak District Christmas Chelsea Buns","5th","French Breakfast Wedding Korovai",3,"12 Chelsea Buns ","8 Non Yeasted Garlic Naan Breads ","Korovai ","9"
"Kim-Joy","Pistachio and Cardamom Tangzhong Chelsea Buns","10th","Orange, Cinnamon and Cranberry 'Kit-ovai'",3,"12 Chelsea Buns ","8 Non Yeasted Garlic Naan Breads ","Korovai ","9"
"Manon","Apricot, Cranberry and Marzipan Chai Chelsea Buns","3rd","Fabergé Inspired Traditional Korovai",3,"12 Chelsea Buns ","8 Non Yeasted Garlic Naan Breads ","Korovai ","9"
"Rahul","Mango and Cranberry Chelsea Buns","4th","Garden Wedding Korovai",3,"12 Chelsea Buns ","8 Non Yeasted Garlic Naan Breads ","Korovai ","9"
"Ruby","Gujarela Chelsea Buns with Dates, Almonds and Raisins","7th","Mama and Papa's Belated Wedding Korovai",3,"12 Chelsea Buns ","8 Non Yeasted Garlic Naan Breads ","Korovai ","9"
"Terry","Tangy Citrus Sticky Chelsea Buns","1st","Garden Korovai",3,"12 Chelsea Buns ","8 Non Yeasted Garlic Naan Breads ","Korovai ","9"
"Briony","Treacle Tart Roulade","5th","Blood Orange & Amaretto Sticky Toffee Sphere",4,"Meringue Roulade ","Raspberry Blancmange with 12 Langues du Chat biscuits ","Melting Chocolate Ball Dessert ","9"
"Dan","Florida Roulade","1st","Dan and the Giant Peach",4,"Meringue Roulade ","Raspberry Blancmange with 12 Langues du Chat biscuits ","Melting Chocolate Ball Dessert ","9"
"Jon","Mango and Passion Fruit Roulade","3rd","Lucy and Hannah's Ballet Cake",4,"Meringue Roulade ","Raspberry Blancmange with 12 Langues du Chat biscuits ","Melting Chocolate Ball Dessert ","9"
"Karen","Coffee Cream and Praline Roulade","7th","Chateau Du Chambord Framboise",4,"Meringue Roulade ","Raspberry Blancmange with 12 Langues du Chat biscuits ","Melting Chocolate Ball Dessert ","9"
"Kim-Joy","'Sweet Dreams' Roulade","6th","Melting Chocolate Galaxy",4,"Meringue Roulade ","Raspberry Blancmange with 12 Langues du Chat biscuits ","Melting Chocolate Ball Dessert ","9"
"Manon","Amarene and Kirsch Cherry Roulade","8th","White Chocolate Renaissance Surprise",4,"Meringue Roulade ","Raspberry Blancmange with 12 Langues du Chat biscuits ","Melting Chocolate Ball Dessert ","9"
"Rahul","Rhubarb and Custard Roulade","4th","Opera Cake with Kalash Inspired Dome",4,"Meringue Roulade ","Raspberry Blancmange with 12 Langues du Chat biscuits ","Melting Chocolate Ball Dessert ","9"
"Ruby","Pina Colada Roulade","2nd","Chocolate Egg",4,"Meringue Roulade ","Raspberry Blancmange with 12 Langues du Chat biscuits ","Melting Chocolate Ball Dessert ","9"
"Terry","Did not compete","Did not compete","Did not compete",4,"Meringue Roulade ","Raspberry Blancmange with 12 Langues du Chat biscuits ","Melting Chocolate Ball Dessert ","9"
"Briony","Honey and Apricot Ginger Cake","6th","Turmeric Latte Chandelier",5,"Ginger Cake ","12 Ma amoul ","Spiced Biscuit Chandelier ","9"
"Dan","Ginger and Lemon Drip Cake","2nd","Birthday Kaleidoscope for Constance",5,"Ginger Cake ","12 Ma amoul ","Spiced Biscuit Chandelier ","9"
"Jon","Family Christmas Ginger Cake","7th","Birthday Chandelier for Emily's 21st",5,"Ginger Cake ","12 Ma amoul ","Spiced Biscuit Chandelier ","9"
"Karen","Bonfire Night Ginger Cake","9th","Pontefract Girls' School Reunion",5,"Ginger Cake ","12 Ma amoul ","Spiced Biscuit Chandelier ","9"
"Kim-Joy","Stem Ginger Cake with Poached Pears","4th","Christmas Spiced Ice Chandelier",5,"Ginger Cake ","12 Ma amoul ","Spiced Biscuit Chandelier ","9"
"Manon","Italian Meringue Ginger Cake","5th","Art Deco Spiced Biscuit Chandelier",5,"Ginger Cake ","12 Ma amoul ","Spiced Biscuit Chandelier ","9"
"Rahul","Bonfire Night Caramel Ginger Cake","3rd","Durga Puja Cardamom Chandelier",5,"Ginger Cake ","12 Ma amoul ","Spiced Biscuit Chandelier ","9"
"Ruby","Jamaican Me Crazy Ginger Cake","1st","Peacock Chandelier",5,"Ginger Cake ","12 Ma amoul ","Spiced Biscuit Chandelier ","9"
"Terry","Caramelised Pear and Stem Ginger Cake","8th","12 Days of Christmas Chandelier",5,"Ginger Cake ","12 Ma amoul ","Spiced Biscuit Chandelier ","9"
"Briony","Home Comforts","1st","""Down the Rabbit Hole"" Banquet Pie",6,"12 Samosas ","6 Puits D amour ","Shaped Banquet Pie ","9"
"Dan","Festive Samosas","6th","Salmon Coulibiac",6,"12 Samosas ","6 Puits D amour ","Shaped Banquet Pie ","9"
"Jon","A Romantic Dinner For Two, Samosa Style","2nd","Welsh Dragon Pie",6,"12 Samosas ","6 Puits D amour ","Shaped Banquet Pie ","9"
"Kim-Joy","Flavours of India","5th","Silke the Vegetarian Mermaid",6,"12 Samosas ","6 Puits D amour ","Shaped Banquet Pie ","9"
"Manon","Samosas for Mum","4th","""What Has Poppy Eaten?""",6,"12 Samosas ","6 Puits D amour ","Shaped Banquet Pie ","9"
"Rahul","Paneer Singara and Misti Singara","3rd","Butterfly Pie",6,"12 Samosas ","6 Puits D amour ","Shaped Banquet Pie ","9"
"Ruby","Traditional Samosas","7th","Kohinoor Crown",6,"12 Samosas ","6 Puits D amour ","Shaped Banquet Pie ","9"
"Briony","French Onion Tartlets and Celeriac & Apple Tartlets","5th","Hazelnut Mocha Cake",7,"8 Savoury Vegan Tartlets ","Vegan Tropical Fruit Pavlova ","Vegan Celebratory Cake ","9"
"Jon","Garlic Mushroom Tartlets and Falafel & Hummus Tartlets","4th","Only Fools Eat Horses Cake",7,"8 Savoury Vegan Tartlets ","Vegan Tropical Fruit Pavlova ","Vegan Celebratory Cake ","9"
"Kim-Joy","Broccoli & Tomato Quiches and Mascarpone Squirrel Tartlets","6th","Lavender & Lemon Fox Cake",7,"8 Savoury Vegan Tartlets ","Vegan Tropical Fruit Pavlova ","Vegan Celebratory Cake ","9"
"Manon","Summer & Winter Tartlets","2nd","Spiced Apple Cake",7,"8 Savoury Vegan Tartlets ","Vegan Tropical Fruit Pavlova ","Vegan Celebratory Cake ","9"
"Rahul","Coriander Posto & Veg Tartlets and Ghugni Chaat Tartlets","1st","Chocolate & Coconut Layer Cake with Raspberry Jam",7,"8 Savoury Vegan Tartlets ","Vegan Tropical Fruit Pavlova ","Vegan Celebratory Cake ","9"
"Ruby","Sage & Butternut Tartlets and 'Cheesy Greens' Tartlets","3rd","Chocolate, Lemon & Coconut Cake",7,"8 Savoury Vegan Tartlets ","Vegan Tropical Fruit Pavlova ","Vegan Celebratory Cake ","9"
"Briony","Spanish & West Country Smørrebrød","1st","Nana Pat Kagekone",8,"2 Smørrebrød ","14 Æbleskiver ","Kagemand Kagekone ","9"
"Kim-Joy","Bumblebee Eggs & Fish Smørrebrød","2nd","Off to the Opera Kagekone",8,"2 Smørrebrød ","14 Æbleskiver ","Kagemand Kagekone ","9"
"Manon","Cheese and Fruit Smørrebrød","4th","Birthday Girl Kagekone",8,"2 Smørrebrød ","14 Æbleskiver ","Kagemand Kagekone ","9"
"Rahul","Smoked Salmon & Roasted Vegetable Smørrebrød","5th","Indian King Kagemand",8,"2 Smørrebrød ","14 Æbleskiver ","Kagemand Kagekone ","9"
"Ruby","Post-Gym Smørrebrød","3rd","Sister Kagekone",8,"2 Smørrebrød ","14 Æbleskiver ","Kagemand Kagekone ","9"
"Briony","Mojito Madeleines
Espresso Martini Madeleines","3rd","British Tea to French Pâtisserie Window",9,"24 Madeleines ","Torta Setteveli ","Parisian Pâtisserie Window ","9"
"Kim-Joy","Ginger and Lemon Madeleines
Orange Bunny Madeleines","2nd","Flavourite Flavours Window Display",9,"24 Madeleines ","Torta Setteveli ","Parisian Pâtisserie Window ","9"
"Rahul","Lemon and Raspberry Madeleines
Orange Curd Madeleines","4th","Classic Tribute to Pâtisserie Window",9,"24 Madeleines ","Torta Setteveli ","Parisian Pâtisserie Window ","9"
"Ruby","Pick Your Own Madeleines","1st","Parisian Un Bouquet de Fleurs Window Display",9,"24 Madeleines ","Torta Setteveli ","Parisian Pâtisserie Window ","9"
"Kim-Joy","Amaretto Diplomat Filled Doughnuts & Lemon Ring Doughnuts","1st","Lost City of Atlantis Dessert Landscape",10,"12 Iced Doughnuts ","6 Campfire Pita Breads ","Landscape Dessert ","9"
"Rahul","Mango Créme Pâtissière Filled Doughnuts & Spiced Orange Ring Doughnuts","2nd","Edible Rock Garden",10,"12 Iced Doughnuts ","6 Campfire Pita Breads ","Landscape Dessert ","9"
"Ruby","Dulce De Leche Filled Doughnuts & Raspberry and Cardamom Ring Doughnuts","3rd","Magical Edible Landscape",10,"12 Iced Doughnuts ","6 Campfire Pita Breads ","Landscape Dessert ","9"
"Alice","Gingerbread Fruit Cake Wreath","5th","Like a Child in a Sweetshop Cake",1,"Fruit Cake ","6 Angel Cake Slices ","Birthday Cake ","10"
"Amelia","Christmas Cake","4th","Carousel Birthday Cake",1,"Fruit Cake ","6 Angel Cake Slices ","Birthday Cake ","10"
"David","Squishy Squashy Fruit Cake","10th","Snakey Birthday Cakey",1,"Fruit Cake ","6 Angel Cake Slices ","Birthday Cake ","10"
"Dan","Jamaican Rum Cake","9th","Pirate Island Cake",1,"Fruit Cake ","6 Angel Cake Slices ","Birthday Cake ","10"
"Helena","Fruit Bat Cake","12th","Away with the Fairies Cake",1,"Fruit Cake ","6 Angel Cake Slices ","Birthday Cake ","10"
"Henry","Wood Street Cake","1st","Secret Woodland Cake",1,"Fruit Cake ","6 Angel Cake Slices ","Birthday Cake ","10"
"Jamie","Easter Simnel Cake","13th","Salted Caramel Schnauzer Birthday Cake",1,"Fruit Cake ","6 Angel Cake Slices ","Birthday Cake ","10"
"Michael","Cup of Chai Cake","11th","Treasure Chest Cake",1,"Fruit Cake ","6 Angel Cake Slices ","Birthday Cake ","10"
"Michelle","Bara Brith Teulu Ni (Our Family's Bara Brith)","6th","Tŷ Tylwyth Teg (Fairy House Cake)",1,"Fruit Cake ","6 Angel Cake Slices ","Birthday Cake ","10"
"Phil","Spiced Fruit Cake with Rum Glaze","8th","Retro Rocket Cake",1,"Fruit Cake ","6 Angel Cake Slices ","Birthday Cake ","10"
"Priya","Sunshine Fruit Cake","7th","Once Upon a Time Cake",1,"Fruit Cake ","6 Angel Cake Slices ","Birthday Cake ","10"
"Rosie","Spicy Chai Loaf","2nd","Magical Jungle Cake",1,"Fruit Cake ","6 Angel Cake Slices ","Birthday Cake ","10"
"Steph","Great Grandma's Fruit Cake","3rd","A Sundae on the Beach Cake",1,"Fruit Cake ","6 Angel Cake Slices ","Birthday Cake ","10"
"Alice","Honeycomb Peanut Mallow Bars","1st","Chocolate and Coconut New Zealand Lamb",2,"12 Decorated Chocolate Biscuit Bars ","12 Fig Rolls ","3D Biscuit Sculpture ","10"
"Amelia","Pistachio, Almond & Raisin Nougat Biscuit Bars","9th","Swimming with Dolphins",2,"12 Decorated Chocolate Biscuit Bars ","12 Fig Rolls ","3D Biscuit Sculpture ","10"
"David","Coco-nutty Chocolate Bars","2nd","Wedding Spray",2,"12 Decorated Chocolate Biscuit Bars ","12 Fig Rolls ","3D Biscuit Sculpture ","10"
"Helena","Wicked Witch Fingers","12th","Caught in a Spider's Web",2,"12 Decorated Chocolate Biscuit Bars ","12 Fig Rolls ","3D Biscuit Sculpture ","10"
"Henry","Coffee, Cardamom & Hazelnut Bars","6th","Chapel Organ",2,"12 Decorated Chocolate Biscuit Bars ","12 Fig Rolls ","3D Biscuit Sculpture ","10"
"Jamie","Cherry Caramel Shortbread Biscuit Bars","11th","Biscuit Guitar",2,"12 Decorated Chocolate Biscuit Bars ","12 Fig Rolls ","3D Biscuit Sculpture ","10"
"Michael","Lemon & Rosemary Biscuit Bars","4th","Hamish the Highland Cow",2,"12 Decorated Chocolate Biscuit Bars ","12 Fig Rolls ","3D Biscuit Sculpture ","10"
"Michelle","Bakewell Bars","8th","Dewi y Ddraig Gymraeg – Dewi the Welsh Dragon",2,"12 Decorated Chocolate Biscuit Bars ","12 Fig Rolls ","3D Biscuit Sculpture ","10"
"Phil","Orange, Cranberry & White Chocolate Fudge Bars","3rd","Tina the Tortoise",2,"12 Decorated Chocolate Biscuit Bars ","12 Fig Rolls ","3D Biscuit Sculpture ","10"
"Priya","Ruby Barfi Biscuit Bars","7th","The Beast of Rocky Mountain",2,"12 Decorated Chocolate Biscuit Bars ","12 Fig Rolls ","3D Biscuit Sculpture ","10"
"Rosie","Virgin Mojito Biscuit Bars","5th","My Favourite Chicken – A Celebration of Legs",2,"12 Decorated Chocolate Biscuit Bars ","12 Fig Rolls ","3D Biscuit Sculpture ","10"
"Steph","Chocolate, Caramel Macchiato Biscuit Bars","10th","Ginger the Cat",2,"12 Decorated Chocolate Biscuit Bars ","12 Fig Rolls ","3D Biscuit Sculpture ","10"
"Alice","Baklava Tear & Share","7th","Global Bread",3,"Tear   Share Loaf ","8 White Burger Baps   4 Veggie Burgers ","Decorative Loaf Display ","10"
"Amelia","Chorizo Brunch Tear & Share","11th","Caterpillar Transformation",3,"Tear   Share Loaf ","8 White Burger Baps   4 Veggie Burgers ","Decorative Loaf Display ","10"
"David","Cinnamon Swirl Tear & Share","2nd","Trio of African Masks",3,"Tear   Share Loaf ","8 White Burger Baps   4 Veggie Burgers ","Decorative Loaf Display ","10"
"Helena","Frosted Cinnamon and Pecan Tear & Share","8th","Every Bread is Halloween",3,"Tear   Share Loaf ","8 White Burger Baps   4 Veggie Burgers ","Decorative Loaf Display ","10"
"Henry","Chicken and Pesto Tear & Share","1st","Herb Garden",3,"Tear   Share Loaf ","8 White Burger Baps   4 Veggie Burgers ","Decorative Loaf Display ","10"
"Michael","Keralan Star Bread Tear & Share","6th","Mediterranean Camp Fire",3,"Tear   Share Loaf ","8 White Burger Baps   4 Veggie Burgers ","Decorative Loaf Display ","10"
"Michelle","Noson Caws (Cheese Night) Tear & Share","5th","Gardd Ni (Our Garden)",3,"Tear   Share Loaf ","8 White Burger Baps   4 Veggie Burgers ","Decorative Loaf Display ","10"
"Phil","Pancetta and Cheese Focaccia Tear & Share","10th","Winner's Wreath",3,"Tear   Share Loaf ","8 White Burger Baps   4 Veggie Burgers ","Decorative Loaf Display ","10"
"Priya","Smokey Jalapeño Tear & Share","4th","Bird Boules",3,"Tear   Share Loaf ","8 White Burger Baps   4 Veggie Burgers ","Decorative Loaf Display ","10"
"Rosie","Chilli and Manchego Tear & Share","9th","Bread Safari",3,"Tear   Share Loaf ","8 White Burger Baps   4 Veggie Burgers ","Decorative Loaf Display ","10"
